,percent_wom,tick,position
0,26.77777777777778,0,Level 1
1,26.88888888888889,0,Level 2
2,33.08333333333333,0,Level 3
3,37.416666666666664,0,Level 4
4,40.06018518518519,0,Level 5
5,47.842592592592595,0,Level 6
6,26.77777777777778,1,Level 1
7,27.111111111111114,1,Level 2
8,33.05555555555556,1,Level 3
9,37.5,1,Level 4
10,40.09259259259259,1,Level 5
11,47.844907407407405,1,Level 6
12,26.444444444444443,2,Level 1
13,27.333333333333332,2,Level 2
14,33.25,2,Level 3
15,37.541666666666664,2,Level 4
16,40.33796296296296,2,Level 5
17,47.84143518518518,2,Level 6
18,26.111111111111114,3,Level 1
19,27.555555555555557,3,Level 2
20,33.25,3,Level 3
21,37.583333333333336,3,Level 4
22,40.42129629629629,3,Level 5
23,47.864583333333336,3,Level 6
24,26.0,4,Level 1
25,27.88888888888889,4,Level 2
26,33.02777777777778,4,Level 3
27,37.638888888888886,4,Level 4
28,40.59259259259259,4,Level 5
29,47.86111111111111,4,Level 6
30,26.0,5,Level 1
31,27.944444444444443,5,Level 2
32,33.13888888888889,5,Level 3
33,37.583333333333336,5,Level 4
34,40.65740740740741,5,Level 5
35,47.84606481481482,5,Level 6
36,25.88888888888889,6,Level 1
37,28.166666666666668,6,Level 2
38,33.02777777777778,6,Level 3
39,37.59722222222222,6,Level 4
40,40.68981481481482,6,Level 5
41,47.83449074074074,6,Level 6
42,26.0,7,Level 1
43,28.111111111111107,7,Level 2
44,33.27777777777778,7,Level 3
45,37.80555555555555,7,Level 4
46,40.81944444444445,7,Level 5
47,47.776620370370374,7,Level 6
48,26.111111111111114,8,Level 1
49,28.22222222222222,8,Level 2
50,33.166666666666664,8,Level 3
51,37.888888888888886,8,Level 4
52,40.91203703703704,8,Level 5
53,47.75,8,Level 6
54,26.0,9,Level 1
55,28.555555555555557,9,Level 2
56,33.33333333333333,9,Level 3
57,37.79166666666667,9,Level 4
58,41.00925925925926,9,Level 5
59,47.77777777777778,9,Level 6
60,25.77777777777778,10,Level 1
61,28.77777777777778,10,Level 2
62,33.166666666666664,10,Level 3
63,37.958333333333336,10,Level 4
64,41.14351851851852,10,Level 5
65,47.78356481481482,10,Level 6
66,26.0,11,Level 1
67,28.77777777777778,11,Level 2
68,33.33333333333333,11,Level 3
69,38.263888888888886,11,Level 4
70,41.25,11,Level 5
71,47.748842592592595,11,Level 6
72,25.444444444444443,12,Level 1
73,29.055555555555557,12,Level 2
74,33.52777777777778,12,Level 3
75,38.27777777777778,12,Level 4
76,41.4212962962963,12,Level 5
77,47.7025462962963,12,Level 6
78,25.444444444444443,13,Level 1
79,29.444444444444446,13,Level 2
80,33.416666666666664,13,Level 3
81,38.375,13,Level 4
82,41.52777777777778,13,Level 5
83,47.70601851851852,13,Level 6
84,25.555555555555554,14,Level 1
85,29.555555555555557,14,Level 2
86,33.75,14,Level 3
87,38.27777777777778,14,Level 4
88,41.56481481481482,14,Level 5
89,47.748842592592595,14,Level 6
90,26.0,15,Level 1
91,29.777777777777775,15,Level 2
92,33.88888888888889,15,Level 3
93,38.48611111111111,15,Level 4
94,41.65277777777778,15,Level 5
95,47.74652777777778,15,Level 6
96,26.333333333333332,16,Level 1
97,29.833333333333336,16,Level 2
98,33.75,16,Level 3
99,38.666666666666664,16,Level 4
100,41.75,16,Level 5
101,47.68634259259259,16,Level 6
102,26.444444444444443,17,Level 1
103,29.555555555555557,17,Level 2
104,34.02777777777778,17,Level 3
105,38.58333333333333,17,Level 4
106,41.8287037037037,17,Level 5
107,47.70023148148148,17,Level 6
108,26.111111111111114,18,Level 1
109,29.833333333333336,18,Level 2
110,34.0,18,Level 3
111,38.625,18,Level 4
112,41.91203703703704,18,Level 5
113,47.69328703703704,18,Level 6
114,25.77777777777778,19,Level 1
115,29.888888888888886,19,Level 2
116,34.11111111111111,19,Level 3
117,38.708333333333336,19,Level 4
118,42.06018518518518,19,Level 5
119,47.68981481481481,19,Level 6
120,25.88888888888889,20,Level 1
121,29.72222222222222,20,Level 2
122,34.30555555555556,20,Level 3
123,38.94444444444444,20,Level 4
124,42.21296296296296,20,Level 5
125,47.636574074074076,20,Level 6
126,25.77777777777778,21,Level 1
127,29.72222222222222,21,Level 2
128,34.25,21,Level 3
129,38.916666666666664,21,Level 4
130,42.31018518518518,21,Level 5
131,47.68634259259259,21,Level 6
132,26.222222222222225,22,Level 1
133,29.888888888888886,22,Level 2
134,34.333333333333336,22,Level 3
135,38.93055555555556,22,Level 4
136,42.43055555555556,22,Level 5
137,47.682870370370374,22,Level 6
138,26.333333333333332,23,Level 1
139,29.833333333333336,23,Level 2
140,34.44444444444444,23,Level 3
141,38.916666666666664,23,Level 4
142,42.611111111111114,23,Level 5
143,47.73148148148148,23,Level 6
144,26.555555555555554,24,Level 1
145,29.777777777777775,24,Level 2
146,34.47222222222222,24,Level 3
147,38.80555555555556,24,Level 4
148,42.851851851851855,24,Level 5
149,47.72453703703704,24,Level 6
150,26.444444444444443,25,Level 1
151,30.333333333333336,25,Level 2
152,34.416666666666664,25,Level 3
153,38.93055555555556,25,Level 4
154,42.986111111111114,25,Level 5
155,47.72337962962963,25,Level 6
156,26.222222222222225,26,Level 1
157,30.166666666666668,26,Level 2
158,34.333333333333336,26,Level 3
159,39.18055555555556,26,Level 4
160,43.148148148148145,26,Level 5
161,47.71643518518518,26,Level 6
162,26.111111111111114,27,Level 1
163,29.888888888888886,27,Level 2
164,34.333333333333336,27,Level 3
165,39.361111111111114,27,Level 4
166,43.300925925925924,27,Level 5
167,47.7037037037037,27,Level 6
168,26.111111111111114,28,Level 1
169,29.833333333333336,28,Level 2
170,34.25,28,Level 3
171,39.40277777777778,28,Level 4
172,43.388888888888886,28,Level 5
173,47.717592592592595,28,Level 6
174,26.111111111111114,29,Level 1
175,29.388888888888886,29,Level 2
176,34.38888888888889,29,Level 3
177,39.375,29,Level 4
178,43.63425925925926,29,Level 5
179,47.72222222222222,29,Level 6
180,26.111111111111114,30,Level 1
181,29.5,30,Level 2
182,34.416666666666664,30,Level 3
183,39.29166666666667,30,Level 4
184,43.68981481481482,30,Level 5
185,47.70601851851852,30,Level 6
186,26.333333333333332,31,Level 1
187,29.388888888888886,31,Level 2
188,34.36111111111111,31,Level 3
189,39.47222222222222,31,Level 4
190,43.78703703703704,31,Level 5
191,47.726851851851855,31,Level 6
192,27.0,32,Level 1
193,29.22222222222222,32,Level 2
194,34.27777777777778,32,Level 3
195,39.486111111111114,32,Level 4
196,43.93055555555556,32,Level 5
197,47.745370370370374,32,Level 6
198,27.22222222222222,33,Level 1
199,29.166666666666668,33,Level 2
200,34.30555555555556,33,Level 3
201,39.33333333333333,33,Level 4
202,44.120370370370374,33,Level 5
203,47.69675925925926,33,Level 6
204,27.0,34,Level 1
205,29.72222222222222,34,Level 2
206,33.97222222222222,34,Level 3
207,39.34722222222222,34,Level 4
208,44.11574074074074,34,Level 5
209,47.760416666666664,34,Level 6
210,27.0,35,Level 1
211,29.72222222222222,35,Level 2
212,33.88888888888889,35,Level 3
213,39.44444444444444,35,Level 4
214,44.25925925925926,35,Level 5
215,47.72453703703704,35,Level 6
216,27.0,36,Level 1
217,29.833333333333336,36,Level 2
218,33.97222222222222,36,Level 3
219,39.59722222222222,36,Level 4
220,44.33796296296296,36,Level 5
221,47.736111111111114,36,Level 6
222,27.111111111111114,37,Level 1
223,29.666666666666668,37,Level 2
224,33.86111111111111,37,Level 3
225,39.54166666666667,37,Level 4
226,44.34722222222222,37,Level 5
227,47.708333333333336,37,Level 6
228,27.333333333333332,38,Level 1
229,29.777777777777775,38,Level 2
230,33.97222222222222,38,Level 3
231,39.611111111111114,38,Level 4
232,44.375,38,Level 5
233,47.697916666666664,38,Level 6
234,27.22222222222222,39,Level 1
235,29.833333333333336,39,Level 2
236,33.88888888888889,39,Level 3
237,39.625,39,Level 4
238,44.47685185185185,39,Level 5
239,47.72222222222222,39,Level 6
240,27.111111111111114,40,Level 1
241,29.888888888888886,40,Level 2
242,33.86111111111111,40,Level 3
243,39.65277777777778,40,Level 4
244,44.601851851851855,40,Level 5
245,47.75925925925926,40,Level 6
246,26.77777777777778,41,Level 1
247,29.777777777777775,41,Level 2
248,33.97222222222222,41,Level 3
249,39.72222222222222,41,Level 4
250,44.81944444444444,41,Level 5
251,47.76851851851852,41,Level 6
252,26.666666666666668,42,Level 1
253,30.166666666666668,42,Level 2
254,33.86111111111111,42,Level 3
255,39.80555555555556,42,Level 4
256,44.88425925925926,42,Level 5
257,47.76851851851852,42,Level 6
258,26.77777777777778,43,Level 1
259,30.22222222222222,43,Level 2
260,34.05555555555556,43,Level 3
261,39.90277777777778,43,Level 4
262,44.91203703703704,43,Level 5
263,47.77199074074074,43,Level 6
264,26.77777777777778,44,Level 1
265,30.666666666666664,44,Level 2
266,33.97222222222222,44,Level 3
267,39.94444444444444,44,Level 4
268,45.03703703703704,44,Level 5
269,47.7974537037037,44,Level 6
270,26.88888888888889,45,Level 1
271,30.388888888888886,45,Level 2
272,34.22222222222222,45,Level 3
273,40.013888888888886,45,Level 4
274,45.14351851851852,45,Level 5
275,47.835648148148145,45,Level 6
276,26.88888888888889,46,Level 1
277,30.61111111111111,46,Level 2
278,34.27777777777778,46,Level 3
279,39.94444444444444,46,Level 4
280,45.28240740740741,46,Level 5
281,47.8125,46,Level 6
282,26.77777777777778,47,Level 1
283,31.0,47,Level 2
284,34.25,47,Level 3
285,39.986111111111114,47,Level 4
286,45.40277777777778,47,Level 5
287,47.82523148148148,47,Level 6
288,26.88888888888889,48,Level 1
289,30.72222222222222,48,Level 2
290,34.44444444444444,48,Level 3
291,39.94444444444444,48,Level 4
292,45.43518518518518,48,Level 5
293,47.875,48,Level 6
294,26.666666666666668,49,Level 1
295,30.666666666666664,49,Level 2
296,34.55555555555556,49,Level 3
297,40.0,49,Level 4
298,45.48611111111111,49,Level 5
299,47.87384259259259,49,Level 6
300,26.77777777777778,50,Level 1
301,30.555555555555557,50,Level 2
302,34.5,50,Level 3
303,40.02777777777778,50,Level 4
304,45.51851851851852,50,Level 5
305,47.89467592592593,50,Level 6
306,26.666666666666668,51,Level 1
307,30.555555555555557,51,Level 2
308,34.55555555555556,51,Level 3
309,40.236111111111114,51,Level 4
310,45.52777777777778,51,Level 5
311,47.87731481481482,51,Level 6
312,26.88888888888889,52,Level 1
313,30.88888888888889,52,Level 2
314,34.47222222222222,52,Level 3
315,40.208333333333336,52,Level 4
316,45.48148148148148,52,Level 5
317,47.85300925925926,52,Level 6
318,27.22222222222222,53,Level 1
319,30.61111111111111,53,Level 2
320,35.0,53,Level 3
321,40.13888888888889,53,Level 4
322,45.60648148148148,53,Level 5
323,47.832175925925924,53,Level 6
324,26.77777777777778,54,Level 1
325,30.666666666666664,54,Level 2
326,35.44444444444444,54,Level 3
327,40.22222222222222,54,Level 4
328,45.52777777777778,54,Level 5
329,47.86921296296296,54,Level 6
330,27.333333333333332,55,Level 1
331,30.388888888888886,55,Level 2
332,35.5,55,Level 3
333,40.19444444444444,55,Level 4
334,45.6712962962963,55,Level 5
335,47.81018518518518,55,Level 6
336,27.444444444444443,56,Level 1
337,30.61111111111111,56,Level 2
338,35.30555555555556,56,Level 3
339,40.30555555555556,56,Level 4
340,45.63425925925926,56,Level 5
341,47.79398148148148,56,Level 6
342,27.333333333333332,57,Level 1
343,30.5,57,Level 2
