,percent_wom,tick,position
0,26.666666666666668,0,Level 1
1,28.888888888888886,0,Level 2
2,31.305555555555554,0,Level 3
3,36.56944444444444,0,Level 4
4,40.0787037037037,0,Level 5
5,48.15162037037037,0,Level 6
6,26.555555555555554,1,Level 1
7,29.055555555555557,1,Level 2
8,31.194444444444446,1,Level 3
9,36.69444444444444,1,Level 4
10,40.39351851851852,1,Level 5
11,48.10995370370371,1,Level 6
12,26.77777777777778,2,Level 1
13,29.61111111111111,2,Level 2
14,31.083333333333336,2,Level 3
15,36.81944444444444,2,Level 4
16,40.48148148148148,2,Level 5
17,48.09143518518518,2,Level 6
18,27.0,3,Level 1
19,29.444444444444446,3,Level 2
20,31.222222222222225,3,Level 3
21,36.95833333333333,3,Level 4
22,40.5787037037037,3,Level 5
23,48.10069444444444,3,Level 6
24,27.666666666666668,4,Level 1
25,29.22222222222222,4,Level 2
26,31.38888888888889,4,Level 3
27,37.0,4,Level 4
28,40.708333333333336,4,Level 5
29,48.08796296296297,4,Level 6
30,27.555555555555557,5,Level 1
31,29.61111111111111,5,Level 2
32,31.11111111111111,5,Level 3
33,37.138888888888886,5,Level 4
34,40.958333333333336,5,Level 5
35,48.05555555555556,5,Level 6
36,27.77777777777778,6,Level 1
37,29.5,6,Level 2
38,31.277777777777775,6,Level 3
39,37.166666666666664,6,Level 4
40,41.12037037037037,6,Level 5
41,48.079861111111114,6,Level 6
42,27.88888888888889,7,Level 1
43,29.72222222222222,7,Level 2
44,31.444444444444446,7,Level 3
45,37.09722222222222,7,Level 4
46,41.36574074074074,7,Level 5
47,48.02199074074074,7,Level 6
48,27.666666666666668,8,Level 1
49,29.666666666666668,8,Level 2
50,31.583333333333336,8,Level 3
51,37.23611111111111,8,Level 4
52,41.46296296296296,8,Level 5
53,48.03472222222222,8,Level 6
54,27.444444444444443,9,Level 1
55,29.777777777777775,9,Level 2
56,31.63888888888889,9,Level 3
57,37.19444444444445,9,Level 4
58,41.53703703703704,9,Level 5
59,48.04976851851852,9,Level 6
60,27.444444444444443,10,Level 1
61,29.888888888888886,10,Level 2
62,31.61111111111111,10,Level 3
63,37.26388888888889,10,Level 4
64,41.824074074074076,10,Level 5
65,47.969907407407405,10,Level 6
66,27.22222222222222,11,Level 1
67,29.833333333333336,11,Level 2
68,31.833333333333336,11,Level 3
69,37.291666666666664,11,Level 4
70,41.898148148148145,11,Level 5
71,47.94907407407407,11,Level 6
72,27.333333333333332,12,Level 1
73,29.22222222222222,12,Level 2
74,31.972222222222225,12,Level 3
75,37.26388888888889,12,Level 4
76,41.976851851851855,12,Level 5
77,47.910879629629626,12,Level 6
78,27.333333333333332,13,Level 1
