,percent_wom,tick,position
0,26.111111111111114,0,Level 1
1,27.944444444444443,0,Level 2
2,33.30555555555556,0,Level 3
3,36.861111111111114,0,Level 4
4,40.199074074074076,0,Level 5
5,47.91203703703704,0,Level 6
6,26.444444444444443,1,Level 1
7,27.88888888888889,1,Level 2
8,33.19444444444444,1,Level 3
9,36.80555555555556,1,Level 4
10,40.3287037037037,1,Level 5
11,47.91203703703704,1,Level 6
12,26.444444444444443,2,Level 1
13,28.111111111111107,2,Level 2
14,33.166666666666664,2,Level 3
15,36.888888888888886,2,Level 4
16,40.5,2,Level 5
17,47.8912037037037,2,Level 6
18,26.77777777777778,3,Level 1
19,27.833333333333332,3,Level 2
20,33.25,3,Level 3
21,36.916666666666664,3,Level 4
22,40.6712962962963,3,Level 5
23,47.91782407407407,3,Level 6
24,26.77777777777778,4,Level 1
25,27.833333333333332,4,Level 2
26,33.58333333333333,4,Level 3
27,36.916666666666664,4,Level 4
28,40.800925925925924,4,Level 5
29,47.9212962962963,4,Level 6
30,26.666666666666668,5,Level 1
31,28.499999999999996,5,Level 2
32,33.611111111111114,5,Level 3
33,37.02777777777778,5,Level 4
34,40.833333333333336,5,Level 5
35,47.90856481481482,5,Level 6
36,27.111111111111114,6,Level 1
37,28.61111111111111,6,Level 2
38,33.69444444444444,6,Level 3
39,37.111111111111114,6,Level 4
40,40.995370370370374,6,Level 5
41,47.91203703703704,6,Level 6
42,27.22222222222222,7,Level 1
43,28.888888888888886,7,Level 2
44,33.666666666666664,7,Level 3
45,37.18055555555556,7,Level 4
46,41.03703703703704,7,Level 5
47,47.94675925925926,7,Level 6
48,27.444444444444443,8,Level 1
49,28.999999999999996,8,Level 2
50,33.666666666666664,8,Level 3
51,37.291666666666664,8,Level 4
52,41.03703703703704,8,Level 5
53,47.97800925925926,8,Level 6
54,27.333333333333332,9,Level 1
55,29.27777777777778,9,Level 2
56,33.83333333333333,9,Level 3
57,37.52777777777778,9,Level 4
58,41.18981481481481,9,Level 5
59,47.97569444444444,9,Level 6
60,27.444444444444443,10,Level 1
61,29.388888888888886,10,Level 2
62,33.72222222222222,10,Level 3
63,37.361111111111114,10,Level 4
64,41.40277777777778,10,Level 5
65,47.932870370370374,10,Level 6
66,27.555555555555557,11,Level 1
67,29.61111111111111,11,Level 2
68,33.97222222222222,11,Level 3
69,37.26388888888889,11,Level 4
70,41.583333333333336,11,Level 5
71,47.9224537037037,11,Level 6
72,27.666666666666668,12,Level 1
73,29.833333333333336,12,Level 2
74,33.83333333333333,12,Level 3
75,37.40277777777778,12,Level 4
76,41.75462962962963,12,Level 5
77,47.90162037037037,12,Level 6
78,27.333333333333332,13,Level 1
79,30.166666666666668,13,Level 2
80,33.94444444444444,13,Level 3
81,37.44444444444445,13,Level 4
82,41.94444444444444,13,Level 5
83,47.886574074074076,13,Level 6
84,27.555555555555557,14,Level 1
85,30.333333333333336,14,Level 2
86,34.08333333333333,14,Level 3
87,37.541666666666664,14,Level 4
88,42.06018518518518,14,Level 5
89,47.90972222222222,14,Level 6
90,27.333333333333332,15,Level 1
91,30.555555555555557,15,Level 2
92,34.36111111111111,15,Level 3
93,37.40277777777778,15,Level 4
94,42.236111111111114,15,Level 5
95,47.8912037037037,15,Level 6
96,27.88888888888889,16,Level 1
97,30.333333333333336,16,Level 2
98,34.30555555555556,16,Level 3
99,37.65277777777778,16,Level 4
100,42.245370370370374,16,Level 5
101,47.85648148148148,16,Level 6
102,27.88888888888889,17,Level 1
103,30.22222222222222,17,Level 2
104,34.52777777777778,17,Level 3
105,37.638888888888886,17,Level 4
106,42.40277777777778,17,Level 5
107,47.81944444444444,17,Level 6
108,27.88888888888889,18,Level 1
109,30.444444444444446,18,Level 2
110,34.38888888888889,18,Level 3
111,37.888888888888886,18,Level 4
112,42.44907407407407,18,Level 5
113,47.78703703703704,18,Level 6
114,28.000000000000004,19,Level 1
115,30.5,19,Level 2
116,34.52777777777778,19,Level 3
117,37.90277777777778,19,Level 4
118,42.51851851851852,19,Level 5
119,47.785879629629626,19,Level 6
120,27.666666666666668,20,Level 1
121,30.777777777777775,20,Level 2
122,34.66666666666667,20,Level 3
123,37.958333333333336,20,Level 4
124,42.583333333333336,20,Level 5
