,percent_wom,tick,position
0,24.72222222222222,0,Level 1
1,27.77777777777778,0,Level 2
2,31.319444444444443,0,Level 3
3,37.46527777777778,0,Level 4
4,40.3125,0,Level 5
5,47.84722222222222,0,Level 6
6,24.72222222222222,1,Level 1
7,27.916666666666668,1,Level 2
8,31.52777777777778,1,Level 3
9,37.56944444444444,1,Level 4
10,40.43402777777778,1,Level 5
11,47.72569444444444,1,Level 6
12,25.0,2,Level 1
13,28.194444444444443,2,Level 2
14,31.805555555555554,2,Level 3
15,37.8125,2,Level 4
16,40.520833333333336,2,Level 5
17,47.8125,2,Level 6
18,25.0,3,Level 1
19,28.333333333333332,3,Level 2
20,32.29166666666667,3,Level 3
21,38.05555555555556,3,Level 4
22,40.59027777777778,3,Level 5
23,47.64756944444444,3,Level 6
24,25.0,4,Level 1
25,28.47222222222222,4,Level 2
26,32.361111111111114,4,Level 3
27,38.229166666666664,4,Level 4
28,40.65972222222222,4,Level 5
29,47.760416666666664,4,Level 6
30,25.0,5,Level 1
31,28.055555555555557,5,Level 2
32,32.56944444444444,5,Level 3
33,38.333333333333336,5,Level 4
34,40.86805555555556,5,Level 5
35,47.760416666666664,5,Level 6
36,25.0,6,Level 1
37,28.61111111111111,6,Level 2
38,32.77777777777778,6,Level 3
39,38.19444444444444,6,Level 4
40,41.12847222222222,6,Level 5
41,47.673611111111114,6,Level 6
42,25.0,7,Level 1
43,28.749999999999996,7,Level 2
44,32.708333333333336,7,Level 3
45,38.09027777777778,7,Level 4
46,41.545138888888886,7,Level 5
47,47.43055555555556,7,Level 6
48,25.0,8,Level 1
49,29.166666666666668,8,Level 2
50,32.708333333333336,8,Level 3
51,38.229166666666664,8,Level 4
52,41.614583333333336,8,Level 5
53,47.578125,8,Level 6
54,25.0,9,Level 1
55,29.02777777777778,9,Level 2
56,32.77777777777778,9,Level 3
57,38.645833333333336,9,Level 4
58,41.68402777777778,9,Level 5
59,47.48263888888889,9,Level 6
60,24.444444444444443,10,Level 1
61,29.444444444444446,10,Level 2
62,32.708333333333336,10,Level 3
63,38.958333333333336,10,Level 4
64,41.94444444444444,10,Level 5
65,47.37847222222222,10,Level 6
66,24.444444444444443,11,Level 1
67,29.583333333333332,11,Level 2
68,32.84722222222222,11,Level 3
69,38.645833333333336,11,Level 4
70,41.99652777777778,11,Level 5
71,47.37847222222222,11,Level 6
72,24.444444444444443,12,Level 1
73,29.86111111111111,12,Level 2
74,33.05555555555556,12,Level 3
75,38.54166666666667,12,Level 4
76,42.170138888888886,12,Level 5
77,47.56076388888889,12,Level 6
78,24.444444444444443,13,Level 1
79,29.72222222222222,13,Level 2
80,33.19444444444444,13,Level 3
81,38.333333333333336,13,Level 4
82,42.34375,13,Level 5
83,47.61284722222222,13,Level 6
84,24.444444444444443,14,Level 1
85,30.694444444444446,14,Level 2
86,32.84722222222222,14,Level 3
87,38.50694444444444,14,Level 4
88,42.37847222222222,14,Level 5
89,47.630208333333336,14,Level 6
90,24.166666666666668,15,Level 1
91,30.416666666666664,15,Level 2
92,33.125,15,Level 3
93,38.05555555555556,15,Level 4
94,42.604166666666664,15,Level 5
95,47.61284722222222,15,Level 6
96,23.88888888888889,16,Level 1
97,30.833333333333336,16,Level 2
98,32.98611111111111,16,Level 3
99,38.15972222222222,16,Level 4
100,42.74305555555556,16,Level 5
101,47.673611111111114,16,Level 6
102,24.72222222222222,17,Level 1
103,30.694444444444446,17,Level 2
104,33.125,17,Level 3
105,38.19444444444444,17,Level 4
106,42.74305555555556,17,Level 5
107,47.595486111111114,17,Level 6
108,24.444444444444443,18,Level 1
109,30.694444444444446,18,Level 2
110,33.263888888888886,18,Level 3
111,38.263888888888886,18,Level 4
112,42.760416666666664,18,Level 5
113,47.578125,18,Level 6
114,25.0,19,Level 1
115,30.694444444444446,19,Level 2
116,33.263888888888886,19,Level 3
117,38.229166666666664,19,Level 4
118,42.84722222222222,19,Level 5
119,47.447916666666664,19,Level 6
120,25.27777777777778,20,Level 1
121,30.277777777777775,20,Level 2
122,33.541666666666664,20,Level 3
123,38.15972222222222,20,Level 4
124,43.03819444444444,20,Level 5
125,47.53472222222222,20,Level 6
126,25.555555555555554,21,Level 1
127,30.138888888888886,21,Level 2
128,33.68055555555556,21,Level 3
129,38.333333333333336,21,Level 4
130,43.00347222222222,21,Level 5
131,47.54340277777778,21,Level 6
132,26.111111111111114,22,Level 1
133,29.86111111111111,22,Level 2
134,33.541666666666664,22,Level 3
135,38.75,22,Level 4
136,43.19444444444444,22,Level 5
137,47.58680555555556,22,Level 6
138,26.38888888888889,23,Level 1
139,29.86111111111111,23,Level 2
140,33.958333333333336,23,Level 3
141,38.81944444444444,23,Level 4
142,43.24652777777778,23,Level 5
143,47.58680555555556,23,Level 6
144,26.111111111111114,24,Level 1
145,30.138888888888886,24,Level 2
146,34.09722222222222,24,Level 3
147,38.923611111111114,24,Level 4
148,43.35069444444444,24,Level 5
149,47.578125,24,Level 6
150,26.38888888888889,25,Level 1
151,30.0,25,Level 2
152,34.44444444444444,25,Level 3
153,38.71527777777778,25,Level 4
154,43.59375,25,Level 5
155,47.447916666666664,25,Level 6
156,26.111111111111114,26,Level 1
157,30.138888888888886,26,Level 2
158,34.583333333333336,26,Level 3
159,38.40277777777778,26,Level 4
160,43.81944444444444,26,Level 5
161,47.37847222222222,26,Level 6
162,26.111111111111114,27,Level 1
163,30.277777777777775,27,Level 2
164,35.06944444444444,27,Level 3
165,38.263888888888886,27,Level 4
166,44.04513888888889,27,Level 5
167,47.37847222222222,27,Level 6
168,26.666666666666668,28,Level 1
169,30.555555555555557,28,Level 2
170,34.791666666666664,28,Level 3
171,38.36805555555556,28,Level 4
172,43.958333333333336,28,Level 5
173,47.52604166666667,28,Level 6
174,26.944444444444443,29,Level 1
175,30.555555555555557,29,Level 2
176,35.0,29,Level 3
177,38.75,29,Level 4
178,43.802083333333336,29,Level 5
