,percent_wom,tick,position
0,20.11111111111111,0,Level 1
1,21.27777777777778,0,Level 2
2,31.38888888888889,0,Level 3
3,32.75,0,Level 4
4,37.89351851851852,0,Level 5
5,47.813657407407405,0,Level 6
6,19.88888888888889,1,Level 1
7,21.555555555555557,1,Level 2
8,31.38888888888889,1,Level 3
9,32.65277777777777,1,Level 4
10,38.14351851851852,1,Level 5
11,47.87152777777778,1,Level 6
12,19.666666666666664,2,Level 1
13,21.833333333333332,2,Level 2
14,31.444444444444446,2,Level 3
15,32.73611111111111,2,Level 4
16,38.425925925925924,2,Level 5
17,47.87037037037037,2,Level 6
18,19.77777777777778,3,Level 1
19,21.833333333333332,3,Level 2
20,31.63888888888889,3,Level 3
21,32.77777777777778,3,Level 4
22,38.60648148148148,3,Level 5
23,47.863425925925924,3,Level 6
24,19.666666666666664,4,Level 1
25,22.11111111111111,4,Level 2
26,31.666666666666664,4,Level 3
27,32.861111111111114,4,Level 4
28,38.64351851851852,4,Level 5
29,47.84143518518518,4,Level 6
30,20.0,5,Level 1
31,22.27777777777778,5,Level 2
32,31.916666666666664,5,Level 3
33,33.06944444444444,5,Level 4
34,38.754629629629626,5,Level 5
35,47.86805555555556,5,Level 6
36,20.333333333333332,6,Level 1
37,22.27777777777778,6,Level 2
38,32.33333333333333,6,Level 3
39,33.04166666666667,6,Level 4
40,38.88425925925926,6,Level 5
41,47.87268518518519,6,Level 6
42,19.88888888888889,7,Level 1
43,22.555555555555557,7,Level 2
44,32.25,7,Level 3
45,33.263888888888886,7,Level 4
46,39.125,7,Level 5
47,47.81018518518518,7,Level 6
48,19.77777777777778,8,Level 1
49,22.61111111111111,8,Level 2
50,32.44444444444444,8,Level 3
51,33.263888888888886,8,Level 4
52,39.18981481481482,8,Level 5
53,47.770833333333336,8,Level 6
54,19.77777777777778,9,Level 1
55,22.833333333333332,9,Level 2
56,32.58333333333333,9,Level 3
57,33.208333333333336,9,Level 4
58,39.29166666666667,9,Level 5
59,47.78356481481482,9,Level 6
60,19.555555555555557,10,Level 1
61,23.22222222222222,10,Level 2
62,32.44444444444444,10,Level 3
63,33.44444444444444,10,Level 4
64,39.43981481481482,10,Level 5
65,47.792824074074076,10,Level 6
66,19.555555555555557,11,Level 1
67,23.333333333333332,11,Level 2
68,32.27777777777778,11,Level 3
69,33.38888888888889,11,Level 4
70,39.64814814814815,11,Level 5
71,47.82175925925926,11,Level 6
72,19.333333333333332,12,Level 1
73,23.72222222222222,12,Level 2
74,32.361111111111114,12,Level 3
75,33.52777777777778,12,Level 4
76,39.88888888888889,12,Level 5
77,47.85300925925926,12,Level 6
78,19.666666666666664,13,Level 1
79,24.0,13,Level 2
80,32.33333333333333,13,Level 3
81,33.69444444444444,13,Level 4
82,39.958333333333336,13,Level 5
83,47.86226851851852,13,Level 6
84,19.77777777777778,14,Level 1
85,24.333333333333336,14,Level 2
86,32.19444444444444,14,Level 3
87,33.80555555555556,14,Level 4
88,40.09259259259259,14,Level 5
89,47.8900462962963,14,Level 6
90,19.666666666666664,15,Level 1
91,24.61111111111111,15,Level 2
92,32.138888888888886,15,Level 3
93,33.986111111111114,15,Level 4
94,40.273148148148145,15,Level 5
95,47.945601851851855,15,Level 6
